"adult","backdrop_path","genre_ids","id","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count"
FALSE,"/x4biAVdPVCghBlsVIzB6NmbghIz.jpg","37",429,"it","Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",7.028,"/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg","1966-12-22","The Good, the Bad and the Ugly",FALSE,8.462,8851
FALSE,"/sJNNMCc6B7KZIY3LH3JMYJJNH5j.jpg","28, 18",346,"ja","七人の侍","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",4.46,"/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg","1954-04-26","Seven Samurai",FALSE,8.458,3818
FALSE,"/7TF4p86ZafnxFuNqWdhpHXFO244.jpg","18, 80",769,"en","GoodFellas","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",7.238,"/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg","1990-09-12","GoodFellas",FALSE,8.457,13170
FALSE,"/tDFvXn4tane9lUvFAFAUkMylwSr.jpg","16, 18, 10752",12477,"ja","火垂るの墓","In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",0.008,"/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg","1988-04-16","Grave of the Fireflies",FALSE,8.453,5766
FALSE,"/8sNiAPPYU14PUepFNeSNGUTiHW.jpg","12, 18, 878",157336,"en","Interstellar","The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.",21.667,"/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg","2014-11-05","Interstellar",FALSE,8.452,36683
FALSE,"/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg","35, 18",637,"it","La vita è bella","A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.",6.55,"/74hLDKjD5aGYOotO6esUVaeISa2.jpg","1997-12-20","Life Is Beautiful",FALSE,8.446,13234
FALSE,"/hZkgoQYus5vegHoetLkCJzb17zJ.jpg","18",550,"en","Fight Club","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",11.379,"/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg","1999-10-15","Fight Club",FALSE,8.438,29952
FALSE,"/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg","18, 10749",11216,"it","Nuovo Cinema Paradiso","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",4.104,"/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg","1988-11-17","Cinema Paradiso",FALSE,8.4,4475
FALSE,"/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg","18, 80",598,"pt","Cidade de Deus","In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",5.147,"/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg","2002-08-30","City of God",FALSE,8.4,7539
FALSE,"/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg","27, 53, 9648",539,"en","Psycho","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",5.129,"/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg","1960-06-22","Psycho",FALSE,8.423,10246
FALSE,"/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg","12, 14, 28",120,"en","The Lord of the Rings: The Fellowship of the Ring","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",17.143,"/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg","2001-12-18","The Lord of the Rings: The Fellowship of the Ring",FALSE,8.4,25698
FALSE,"/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg","10751, 18",667257,"es","Cosas imposibles","After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",3.55,"/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg","2021-06-17","Impossible Things",FALSE,8.4,397
FALSE,"/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg","28, 18, 36",14537,"ja","切腹","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",4.13,"/w7pWcLaYQkbtRUn99K6ome0DblL.jpg","1962-09-15","Harakiri",FALSE,8.4,1041
FALSE,"/uPYa165sraN2c8gZBM9C47g3JoU.jpg","18, 80",311,"en","Once Upon a Time in America","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",5.688,"/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg","1984-05-23","Once Upon a Time in America",FALSE,8.415,5518
FALSE,"/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg","18",510,"en","One Flew Over the Cuckoo's Nest","A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",5.988,"/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg","1975-11-19","One Flew Over the Cuckoo's Nest",FALSE,8.414,10642
FALSE,"/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg","10749, 18",696374,"en","Gabriel's Inferno","An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",1.638,"/yXRoyYzIo17HfANn07oXYdyBy4h.jpg","2020-05-29","Gabriel's Inferno",FALSE,8.413,2416
FALSE,"/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg","35, 18, 14",40096,"pt","O Auto da Compadecida","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",3.54,"/xWCKF7hgOicb3A0XiY13SdlwRcn.jpg","2000-09-15","A Dog's Will",FALSE,8.4,1140
FALSE,"/jfEOzpsjc6JDlKhUHb4toWQPt.jpg","12, 14, 28",121,"en","The Lord of the Rings: The Two Towers","Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",10.367,"/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg","2002-12-18","The Lord of the Rings: The Two Towers",FALSE,8.4,22314
FALSE,"/nv5wwZou159v5OC61i4ElR7OqyY.jpg","14, 16, 12",4935,"ja","ハウルの動く城","Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",7.71,"/23hUJh7JdO23SpgUB5oiFDQk2wX.jpg","2004-09-09","Howl's Moving Castle",FALSE,8.4,10142
FALSE,"/8mnXR9rey5uQ08rZAvzojKWbDQS.jpg","16, 28, 12, 878",324857,"en","Spider-Man: Into the Spider-Verse","Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",9.9,"/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg","2018-12-06","Spider-Man: Into the Spider-Verse",FALSE,8.396,15960
FALSE,"/dMZxEdrWIzUmUoOz2zvmFuutbj7.jpg","12, 28, 878",1891,"en","The Empire Strikes Back","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",4.053,"/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg","1980-05-20","The Empire Strikes Back",FALSE,8.391,17234
FALSE,"/gutU32BiBxJvJdzLv5RWC9hQhNh.jpg","18",1058694,"es","Radical","In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",4.196,"/eGMkkbG85JUyXQEsbZKSnBrymts.jpg","2023-10-19","Radical",FALSE,8.384,444
FALSE,"/q5HZvtyqG8Vz39Ee9uTQbLeEml.jpg","16, 18, 10749",378064,"ja","映画 聲の形","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",5.668,"/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg","2016-09-17","A Silent Voice: The Movie",FALSE,8.4,4046
FALSE,"/jtAI6OJIWLWiRItNSZoWjrsUtmi.jpg","10749, 18",724089,"en","Gabriel's Inferno: Part II","Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",1.628,"/x5o8cLZfEXMoZczTYWLrUo1P7UJ.jpg","2020-07-31","Gabriel's Inferno: Part II",FALSE,8.383,1518
FALSE,"/7KR1nKGaYqPuFBnqP7XBIX0DZlR.jpg","18, 10751",770156,"en","Lucy Shimmers and the Prince of Peace","Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.",3.792,"/yfnJ5qIYx7q33fY4jqv9Pu95RSg.jpg","2020-10-19","Lucy Shimmers and the Prince of Peace",FALSE,8.38,300
FALSE,"/fQq1FWp1rC89xDrRMuyFJdFUdMd.jpg","10749, 18",761053,"en","Gabriel's Inferno: Part III","The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.",3.548,"/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg","2020-11-19","Gabriel's Inferno: Part III",FALSE,8.378,1057
FALSE,"/4Nx40jwpoTHPjCWNGoaZ6kaoGxa.jpg","18",255709,"ko","소원","After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",3.576,"/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg","2013-10-02","Hope",FALSE,8.4,757
FALSE,"/dVr11o9or7AS8AMPfwjSpEU83iU.jpg","18, 10752",423,"en","The Pianist","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",4.765,"/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg","2002-09-17","The Pianist",FALSE,8.4,9378
FALSE,"/uBZQOYZLIU9dBmd62fdzBAoropu.jpg","28, 12, 16, 18",704264,"en","Primal: Tales of Savagery","Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",4.08,"/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg","2019-11-21","Primal: Tales of Savagery",FALSE,8.382,327
FALSE,"/bF8eIIIJJoMZf2mFibAejqEGQcX.jpg","18, 10402",244786,"en","Whiplash","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",7.863,"/7fn624j5lj3xTme2SgiLCeuedmO.jpg","2014-10-10","Whiplash",FALSE,8.376,15445
FALSE,"/p1PLSI5Nw2krGxD7X4ulul1tDAk.jpg","80, 9648, 53",807,"en","Se7en","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",6.346,"/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg","1995-09-22","Se7en",FALSE,8.373,21473
FALSE,"/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg","28, 878, 12",27205,"en","Inception","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.398,"/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg","2010-07-15","Inception",FALSE,8.369,37157
FALSE,"/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg","16, 14, 28",620249,"zh","罗小黑战记","When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",3.585,"/4jfbKKLpqts3i2h2obkrONcjTg1.jpg","2019-08-27","The Legend of Hei",FALSE,8.4,379
FALSE,"/zZvtZZXRnZ4Tdcs0QEWaZZcIWy8.jpg","53, 9648",567,"en","Rear Window","A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.",3.766,"/ILVF0eJxHMddjxeQhswFtpMtqx.jpg","1954-08-01","Rear Window",FALSE,8.35,6609
FALSE,"/kVd3a9YeLGkoeR50jGEXM6EqseS.jpg","16, 28, 12, 878",569094,"en","Spider-Man: Across the Spider-Verse","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.416,"/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg","2023-05-31","Spider-Man: Across the Spider-Verse",FALSE,8.346,7375
FALSE,"/aYcnDyLMnpKce1FOYUpZrXtgUye.jpg","80, 18, 53",274,"en","The Silence of the Lambs","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",1.315,"/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg","1991-02-14","The Silence of the Lambs",FALSE,8.345,16622
FALSE,"/tLmyP7akYmxLwyfTEt2qyj2sOR3.jpg","10749, 16",372754,"ja","同級生","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",3.537,"/cIfRCA5wEvj9tApca4UDUagQEiM.jpg","2016-02-20","Dou kyu sei – Classmates",FALSE,8.3,398
FALSE,"/adkWjKeklbfVIw9y2KKPSCwZl9N.jpg","18, 80, 9648, 53",12493,"ja","天国と地獄","In the midst of an attempt to take over his company, a powerhouse executive is hit with a huge ransom demand when his chauffeur's son is kidnapped by mistake.",3.61,"/tgNjemQPG96uIezpiUiXFcer5ga.jpg","1963-03-01","High and Low",FALSE,8.3,952
FALSE,"/9LSsSPbP715XT9B7acIZzantPyX.jpg","18",73,"en","American History X","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",5.022,"/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg","1998-07-01","American History X",FALSE,8.339,11750
FALSE,"/mQZJoIhTEkNhCYAqcHrQqhENLdu.jpg","16, 878, 10751",1184918,"en","The Wild Robot","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",23.39,"/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg","2024-09-12","The Wild Robot",FALSE,8.337,4503
FALSE,"/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg","12, 14, 16",128,"ja","もののけ姫","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",4.236,"/cMYCDADoLKLbB83g4WnJegaZimC.jpg","1997-07-12","Princess Mononoke",FALSE,8.3,8198
FALSE,"/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg","16, 35, 10749",820067,"ja","映画 五等分の花嫁","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",3.57,"/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg","2022-05-20","The Quintessential Quintuplets Movie",FALSE,8.317,405
FALSE,"/5bzPWQ2dFUl2aZKkp7ILJVVkRed.jpg","12, 35, 878",105,"en","Back to the Future","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",6.909,"/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg","1985-07-03","Back to the Future",FALSE,8.317,20318
FALSE,"/djvXCedFiwbfp4HSoX3VU3WUVVm.jpg","80, 18, 10749",15804,"zh","牯嶺街少年殺人事件","A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",3.54,"/3l8fOAwiN3N5n3hHnZ51eog7Zu2.jpg","1991-07-27","A Brighter Summer Day",FALSE,8.3,333
FALSE,"/stiGp1XzkLSYdUUEWTyQOZRkr49.jpg","18",3782,"ja","生きる","Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",3.622,"/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg","1952-10-09","Ikiru",FALSE,8.3,1180
FALSE,"/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg","18, 35",644479,"es","Dedicada A Mi Ex","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",3.54,"/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg","2019-11-01","Dedicated to my ex",FALSE,8.3,503
FALSE,"/hpzQHv8cA7j2Dn2CphOFYmllXzj.jpg","18",207,"en","Dead Poets Society","At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",5.669,"/hmGAF5NDoYB6S39UONevjHCESOI.jpg","1989-06-02","Dead Poets Society",FALSE,8.3,11524
